[rosmaster.main][INFO] 2024-12-08 18:41:17,537: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-12-08 18:41:17,537: Starting ROS Master Node
[xmlrpc][INFO] 2024-12-08 18:41:17,538: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-12-08 18:41:17,539: Started XML-RPC server [http://IsraUbuntu:11311/]
[xmlrpc][INFO] 2024-12-08 18:41:17,539: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-12-08 18:41:17,539: Master initialized: port[11311], uri[http://IsraUbuntu:11311/]
[rosmaster.master][INFO] 2024-12-08 18:41:17,546: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,547: +PARAM [/roslaunch/uris/host_israubuntu__40889] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rtabmap/rgbd_odometry/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rtabmap/rgbd_odometry/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rtabmap/rgbd_odometry/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rtabmap/rgbd_odometry/ground_truth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rtabmap/rgbd_odometry/ground_truth_base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,611: +PARAM [/rtabmap/rgbd_odometry/wait_for_transform_duration] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/wait_imu_to_init] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/approx_sync] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/approx_sync_max_interval] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/config_path] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/topic_queue_size] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/sync_queue_size] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/subscribe_rgbd] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/guess_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/guess_min_translation] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/guess_min_rotation] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/max_update_rate] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rgbd_odometry/keep_color] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rtabmap/subscribe_depth] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rtabmap/subscribe_rgb] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rtabmap/subscribe_rgbd] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rtabmap/subscribe_stereo] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rtabmap/subscribe_scan] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,612: +PARAM [/rtabmap/rtabmap/subscribe_scan_cloud] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/subscribe_scan_descriptor] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/subscribe_user_data] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/subscribe_odom_info] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/map_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/odom_frame_id_init] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/initial_pose] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/gen_scan] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/loc_thr] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/ground_truth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/ground_truth_base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/odom_tf_angular_variance] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/odom_tf_linear_variance] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/odom_sensor_sync] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/wait_for_transform_duration] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,613: +PARAM [/rtabmap/rtabmap/database_path] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/approx_sync] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/config_path] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/topic_queue_size] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/sync_queue_size] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/scan_cloud_max_points] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/landmark_linear_variance] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/landmark_angular_variance] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/gen_depth] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/gen_depth_decimation] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/gen_depth_fill_holes_size] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/gen_depth_fill_iterations] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/gen_depth_fill_holes_error] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/Mem/IncrementalMemory] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap/Mem/InitWMWithAllNodes] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap_viz/subscribe_depth] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap_viz/subscribe_rgb] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap_viz/subscribe_rgbd] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap_viz/subscribe_stereo] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,614: +PARAM [/rtabmap/rtabmap_viz/subscribe_scan] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/subscribe_scan_cloud] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/subscribe_scan_descriptor] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/subscribe_odom_info] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/wait_for_transform_duration] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/topic_queue_size] by /roslaunch
[rosmaster.master][INFO] 2024-12-08 18:41:17,615: +PARAM [/rtabmap/rtabmap_viz/sync_queue_size] by /roslaunch
